model_id,program_id
28,3
34,4
42,4
24,3
64,8
74,9
91,12
102,13
111,11
162,15
197,19
213,20
233,22
246,21
268,1
283,26
335,27
347,29
386,30
247,21
275,26
33,4
17,3
53,8
66,9
92,12
94,13
104,11
151,15
194,19
205,20
234,22
236,21
259,1
326,27
356,29
374,30
346,29
75,9
103,13
29,4
30,4
235,22
31,4
32,4
80,10
113,14
65,8
188,16
183,17
269,1
214,20
289,28
163,15
284,26
387,30
112,11
93,12
202,19
273,24
336,27
73,9
18,3
19,3
20,3
21,3
22,3
23,3
54,8
55,8
56,8
329,27
57,8
58,8
59,8
60,8
61,8
62,8
63,8
67,9
68,9
69,9
70,9
71,9
72,9
81,12
82,12
83,12
84,12
85,12
86,12
87,12
88,12
89,12
90,12
95,13
96,13
97,13
98,13
99,13
100,13
101,13
105,11
106,11
107,11
108,11
109,11
110,11
152,15
153,15
154,15
238,21
155,15
156,15
157,15
158,15
159,15
160,15
161,15
195,19
196,19
206,20
207,20
208,20
209,20
210,20
211,20
212,20
223,22
224,22
225,22
226,22
227,22
228,22
229,22
230,22
231,22
232,22
237,21
327,27
239,21
240,21
241,21
242,21
243,21
244,21
245,21
260,1
261,1
262,1
263,1
264,1
265,1
328,27
266,1
267,1
276,26
277,26
278,26
279,26
280,26
281,26
282,26
330,27
331,27
332,27
333,27
334,27
348,29
349,29
350,29
351,29
352,29
353,29
354,29
355,29
375,30
376,30
377,30
378,30
379,30
380,30
381,30
382,30
383,30
384,30
385,30
